0,17,34,51,68,85,102,119
1,18,35,52,69,86,103,120
2,19,36,53,70,87,104,121
3,20,37,54,71,88,105,122
4,21,38,55,72,89,106,123
5,22,39,56,73,90,107,124
6,23,40,57,74,91,108,125
7,24,41,58,75,92,109,126
8,25,42,59,76,93,110,127
9,26,43,60,77,94,111,128
10,27,44,61,78,95,112,129
11,28,45,62,79,96,113,130
12,29,46,63,80,97,114,131
13,30,47,64,81,98,115,132
14,31,48,65,82,99,116,133
15,32,49,66,83,100,117,134
16,33,50,67,84,101,118,135
1000,1020,1040,1060,1080,1100,1120,1140
1001,1021,1041,1061,1081,1101,1121,1141
1002,1022,1042,1062,1082,1102,1122,1142
1003,1023,1043,1063,1083,1103,1123,1143
1004,1024,1044,1064,1084,1104,1124,1144
1005,1025,1045,1065,1085,1105,1125,1145
1006,1026,1046,1066,1086,1106,1126,1146
1007,1027,1047,1067,1087,1107,1127,1147
1008,1028,1048,1068,1088,1108,1128,1148
1009,1029,1049,1069,1089,1109,1129,1149
1010,1030,1050,1070,1090,1110,1130,1150
1011,1031,1051,1071,1091,1111,1131,1151
1012,1032,1052,1072,1092,1112,1132,1152
1013,1033,1053,1073,1093,1113,1133,1153
1014,1034,1054,1074,1094,1114,1134,1154
1015,1035,1055,1075,1095,1115,1135,1155
1016,1036,1056,1076,1096,1116,1136,1156
1017,1037,1057,1077,1097,1117,1137,1157
1018,1038,1058,1078,1098,1118,1138,1158
1019,1039,1059,1079,1099,1119,1139,1159
